quote,author,category,escola
"And what, Socrates, is the food of the soul? Surely, I said, knowledge is the food of the soul.",Plato,"Knowledge, Soul, Said ",Platonismo
What is food to one man is bitter poison to others.,Lucretius,"Man, Poison, Bitter ",Epicurismo
"I would rather live my life as if there is a God and die to find out there isn't, than live as if there isn't and to die to find out that there is.",Albert Camus,"Life, God, Live ",Existencialismo / Absurdismo
God is a thought who makes crooked all that is straight.,Friedrich Nietzsche,"God, Thought, Straight ",Niilismo / Existencialismo (precursor)
Only a god can save us.,Martin Heidegger,"God, Us, Save ",Fenomenologia / Existencialismo
There is not enough religion in the world even to destroy religion.,Friedrich Nietzsche,"World, Enough, Destroy ",Niilismo / Existencialismo (precursor)
All religions must be tolerated... for every man must get to heaven in his own way.,Epictetus,"Man, Heaven, Way ",Estoicismo
Religion is the recognition of all our duties as divine commands.,Immanuel Kant,"Recognition, Divine, Our ",Idealismo Transcendental
Human beings must be known to be loved but Divine beings must be loved to be known.,Blaise Pascal,"Loved, Human, Human Beings ",Jansenismo / Existencialismo Cristão (precursor)
"If we must not act save on a certainty, we ought not to act on religion, for it is not certain. But how many things we do on an uncertainty, sea voyages, battles!",Blaise Pascal,"Sea, Uncertainty, Act ",Jansenismo / Existencialismo Cristão (precursor)
So potent was religion in persuading to evil deeds.,Lucretius,"Evil, Deeds, Potent ",Epicurismo
"I was born poor and without religion, under a happy sky, feeling harmony, not hostility, in nature. I began not by feeling torn, but in plenitude.",Albert Camus,"Nature, Happy, Sky ",Existencialismo / Absurdismo
"Unless we place our religion and our treasure in the same thing, religion will always be sacrificed.",Epictetus,"Treasure, Place, Same ",Estoicismo
Such are the heights of wickedness to which men are driven by religion.,Lucretius,"Men, Heights, Which ",Epicurismo
Only the guy who isn't rowing has time to rock the boat.,Jean-Paul Sartre,"Leadership, Boat, Rock ",Existencialismo
"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.",Aristotle,"Power, Anger, Purpose ",Peripatético / Aristotelismo
All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.,Friedrich Nietzsche,"Truth, Power, Interpretation ",Niilismo / Existencialismo (precursor)
"Our greatest glory is not in never failing, but in rising up every time we fail.",Ralph Waldo Emerson,"Great, Greatest, Fail ",Transcendentalismo
"We live in deeds, not years; in thoughts, not breaths; in feelings, not in figures on a dial. We should count time by heart throbs. He most lives who thinks most, feels the noblest, acts the best.",Aristotle,"Best, Heart, Thoughts ",Peripatético / Aristotelismo
"I am not the first Buddha who came upon Earth, nor shall I be the last. In due time, another Buddha will arise in the world - a Holy One, a supremely enlightened One, endowed with wisdom in conduct, auspicious, knowing the universe, an incomparable leader of men, a master of angels and mortals.",Buddha,"Wisdom, Leader, I Am ",Budismo
Time itself comes in drops.,William James,"Drops, Itself ",Pragmatismo
Time and memory are true artists they remould reality nearer to the heart's desire.,John Dewey,"Heart, Memory, Reality ",Pragmatismo
"We name time when we say: every thing has its time. This means: everything which actually is, every being comes and goes at the right time and remains for a time during the time allotted to it. Every thing has its time.",Martin Heidegger,"Name, Right Time, Right ",Fenomenologia / Existencialismo
The most thought-provoking thing in our thought-provoking time is that we are still not thinking.,Martin Heidegger,"Thinking, Most, Still ",Fenomenologia / Existencialismo
"Employ your time in improving yourself by other men's writings, so that you shall gain easily what others have labored hard for.",Socrates,"Men, Yourself, You ",Filosofia Socrática
"Nothing great is created suddenly, any more than a bunch of grapes or a fig. If you tell me that you desire a fig. I answer you that there must be time. Let it first blossom, then bear fruit, then ripen.",Epictetus,"Great, Me, Fruit ",Estoicismo
"Time is a sort of river of passing events, and strong is its current; no sooner is a thing brought to sight than it is swept by and another takes its place, and this too will be swept away.",Marcus Aurelius,"Strong, River, Place ",Estoicismo
How much time he saves who does not look to see what his neighbor says or does or thinks.,Marcus Aurelius,"Neighbor, Look, See ",Estoicismo
True time is four-dimensional.,Martin Heidegger,True ,Fenomenologia / Existencialismo
"Conscious of not being able to separate myself from my time, I have decided to become part of it.",Albert Camus,"Myself, Become, Being ",Existencialismo / Absurdismo
"Ah, women. They make the highs higher and the lows more frequent.",Friedrich Nietzsche,"Higher, More, Lows ",Niilismo / Existencialismo (precursor)
"Nothing can be more absurd than the practice that prevails in our country of men and women not following the same pursuits with all their strengths and with one mind, for thus, the state instead of being whole is reduced to half.",Plato,"Men, Mind, Practice ",Platonismo
Women are considered deep - why? Because one can never discover any bottom to them. Women are not even shallow.,Friedrich Nietzsche,"Deep, Why, Never ",Niilismo / Existencialismo (precursor)
"If I became a philosopher, if I have so keenly sought this fame for which I'm still waiting, it's all been to seduce women basically.",Jean-Paul Sartre,"Waiting, Fame, Still ",Existencialismo
Genteel women suppose that those things do not really exist about which it is impossible to talk in polite company.,Friedrich Nietzsche,"Impossible, Company, Talk ",Niilismo / Existencialismo (precursor)
The most mediocre of males feels himself a demigod as compared with women.,Simone de Beauvoir,"Himself, Mediocre, Most ",Existencialismo / Feminismo
"Behind all their personal vanity, women themselves always have an impersonal contempt for woman.",Friedrich Nietzsche,"Woman, Vanity, Personal ",Niilismo / Existencialismo (precursor)
"Stupid as a man, say the women: cowardly as a woman, say the men. Stupidity in a woman is unwomanly.",Friedrich Nietzsche,"Man, Woman, Men ",Niilismo / Existencialismo (precursor)
"The key is to keep company only with people who uplift you, whose presence calls forth your best.",Epictetus,"Motivational, Company ",Estoicismo
My best friend is the man who in wishing me well wishes it for my sake.,Aristotle,"Friendship, Best Friend, Man ",Peripatético / Aristotelismo
"At his best, man is the noblest of all animals; separated from law and justice he is the worst.",Aristotle,"Justice, Man, Law ",Peripatético / Aristotelismo
"The ideal man bears the accidents of life with dignity and grace, making the best of circumstances.",Aristotle,"Life, Man, Grace ",Peripatético / Aristotelismo
The best work is not what is most difficult for you it is what you do best.,Jean-Paul Sartre,"Work, You, Difficult ",Existencialismo
The fox has many tricks. The hedgehog has but one. But that is the best of all.,Ralph Waldo Emerson,"Fox, Hedgehog, Tricks ",Transcendentalismo
