quote,author,category,escola
"Naturally, in the course of my life I have made lots of mistakes, large and small, for one reason or another, but at the heart of it all, every time I made a mistake it was because I was not radical enough.",Jean-Paul Sartre,mistakes,Existencialismo
"To find the Father of all is hard. And when found, it is impossible to utter Him.",Socrates,"discipleshipipleship, evangelism, theology",Filosofia Socrática
"The tragedy is not that we are alone, but that we cannot be. At times I would give anything in the world to no longer be connected by anything to this universe of men.",Albert Camus,"alone, escape, existentialism",Existencialismo / Absurdismo
"You are unfortunate in my judgment, for you have never been unfortunate. You have passed through life with no antagonist to face you; no one will know what you were capable of, not even you yourself.",Seneca,"adversity, resiliency, stoicisim",Estoicismo
"The more clearly you understand yourself and your emotions, the more you become a lover of what is.",Baruch Spinoza,you,Racionalismo
Estragon: They're too bigVladimir: Perhaps you'll have socks some day,Samuel Beckett,growing-up,Teatro do Absurdo
"To laugh often and much,to win the respect of the intelligent peopleand the affection of children; to earn the appreciation of honest criticsand endure the betrayal of false friends;to appreciate beauty;to find the best in others; to leave the world.",Ralph Waldo Emerson,"affection, inspirational, life, love, sorrow",Transcendentalismo
"To laugh often and much; To win the respect of intelligent people and the affection of children; To earn the appreciation of honest critics and endure the betrayal of false friends; To appreciate beauty, to find the best in others; To leave the world a bit better, whether by a healthy child, a garden patch, or a redeemed social condition; To know even one life has breathed easier because you have lived. This is to have succeeded.",Ralph Waldo Emerson,achievement,Transcendentalismo
"The reward of a thing well done, is to have done it.",Ralph Waldo Emerson,"ability, achievement",Transcendentalismo
He has half the deed done who has made a beginning.,Horace,achievement,Epicurismo (influência)
"The Master said, “A true gentleman is one who has set his heart upon the Way. A fellow who is ashamed merely of shabby clothing or modest meals is not even worth conversing with.”(Analects 4.9)",Confucius,"capitalism, china, consumerism, greed, materialism, simplicity, virtue",Confucionismo
"The Master said, “If your conduct is determined solely by considerations of profit you will arouse great resentment.",Confucius,"capitalism, consumerism, greed, materialism, profit",Confucionismo
"The Master said, “The gentleman understands what is right, whereas the petty man understands profit.”(Analects 4.16)",Confucius,"capitalism, china, consumerism, greed",Confucionismo
"The Master said, “Wealth and honor are things that all people desire, and yet unless they are acquired in the proper way I will not abide them. Poverty and disgrace are things that all people hate, and yet unless they are avoided in the proper way I will not despise them. “If the gentleman abandons ren, how can he be worthy of that name? The gentleman does not violate ren even for the amount of time required to eat a meal. Even in times of urgency or distress, he does not depart from it.”(Analects 4.5)",Confucius,"capitalism, greed, simplicity, virtue",Confucionismo
"The Master said, “The gentleman does not serve as a vessel.”(Analects 2.12)",Confucius,"capitalism, dignity, greed, honor",Confucionismo
Most powerful is he who has himself in his power.,Seneca,"empowerment, power, selfhelp",Estoicismo
One idea lights a thousand candles.,Ralph Waldo Emerson,"ideas, ideas-are-power",Transcendentalismo
"I count him braver who overcomes his desires than him who conquers his enemies, for the hardest victory is over self.",Aristotle,"ethics, philosphy, self-discovery",Peripatético / Aristotelismo
"If there were a party of those who aren't sure they're right, I'd belong t",Albert Camus,"camus, ethics, philosophy, tony-judt",Existencialismo / Absurdismo
"The true religion is to be posited not in the knowledge or confession of what God allegedly does or has done for our salvation, but in what we must do to become worthy of this.",Immanuel Kant,"ethics, god, religion, salvation",Idealismo Transcendental
"those, who are believed to be most self—abased and humble, are generally in reality the most ambitious and envious",Baruch Spinoza,ethics,Racionalismo
"It is impossible, or not easy, to alter by argument what has long been absorbed by habit",Aristotle,"ancient-philosophy, aristotle, ethics, limits-of-philosophy, philosophy",Peripatético / Aristotelismo
Human beings are never to be treated as a means but always as ends.,Immanuel Kant,"ethics, selfishness",Idealismo Transcendental
"Every skill and every inquiry, and similarly every action and rational choice, is thought to aim at some good; and so the good had been aptly described as that at which everything aims.",Aristotle,"aristotle, ethics, the-good, virtue",Peripatético / Aristotelismo
"The follower aspires with all his strength to be what he admires. And then, remarkably enough, even though he lives amongst a 'Christian people,' he incurs the same peril as he did when it was dangerous to openly confess Christ. And because of the follower's life, it will become evident who the admirers are, for the admirers will become agitated with him. Even these words will disturb many - but then they must likewise belong to the admirers.",Søren Kierkegaard,discipleship,Existencialismo Cristão
"There is nothing I like better than conversing with aged men. For I regard them as travelers who have gone a journey which I too may have to go, and of whom I ought to inquire whether the way is smooth and easy or rugged and difficult. Is life harder toward the end, or what report do you give it?",Plato,"discipleship, heritage, mentoring",Platonismo
